title,provider,provider_type,curriculum,country,province,grade,phase,subject,topic,language,resource_type,year,term,examination_type,url,memo_url,licence,trust_level,quality_score,source_url,discovered_from,discovered_at,last_verified,status
2025 NSC Accounting Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Accounting,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=fjsgFDpa8wg%3d&tabid=5742&portalid=0&mid=14825&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=oZyi7eQjyEo%3d&tabid=5742&portalid=0&mid=14825&forcedownload=true,unknown,A,90,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Business Studies Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Business Studies,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=UZMoZkUl42g%3d&tabid=5742&portalid=0&mid=14829&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=IAKtVCrlBaw%3d&tabid=5742&portalid=0&mid=14829&forcedownload=true,unknown,A,90,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Economics Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Economics,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=ctIxKzDjX7o%3d&tabid=5742&portalid=0&mid=14836&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=0Nt-PqRAEpI%3d&tabid=5742&portalid=0&mid=14836&forcedownload=true,unknown,A,90,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Geography Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Geography,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=-yt9PT3ew3w%3d&tabid=5742&portalid=0&mid=14839&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=3m3EI20-OFE%3d&tabid=5742&portalid=0&mid=14839&forcedownload=true,unknown,A,89,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC History Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,History,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=2o0MsmBcqVE%3d&tabid=5742&portalid=0&mid=14840&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=7ybdVYFBcEk%3d&tabid=5742&portalid=0&mid=14840&forcedownload=true,unknown,A,89,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Life Sciences Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Life Sciences,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=gGKToRa_6AU%3d&tabid=5742&portalid=0&mid=14843&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=qagqeuN2l5Y%3d&tabid=5742&portalid=0&mid=14843&forcedownload=true,unknown,A,91,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Information Technology Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Information Technology,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=29sjz7M5F7M%3d&tabid=5742&portalid=0&mid=14842&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=yULW88ykgB4%3d&tabid=5742&portalid=0&mid=14842&forcedownload=true,unknown,A,88,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Life Orientation Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Life Orientation,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=0NECGL07Iu4%3d&tabid=5742&portalid=0&mid=14892&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=IgJTQDu_M6g%3d&tabid=5742&portalid=0&mid=14892&forcedownload=true,unknown,A,87,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Accounting Paper 2 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Accounting,Paper 2,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=3BYl4uHjIyA%3d&tabid=5742&portalid=0&mid=14825&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=xBkE4RhcBtc%3d&tabid=5742&portalid=0&mid=14825&forcedownload=true,unknown,A,90,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Business Studies Paper 2 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Business Studies,Paper 2,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=exxYQ15vBPs%3d&tabid=5742&portalid=0&mid=14829&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=mPciP6R-yfQ%3d&tabid=5742&portalid=0&mid=14829&forcedownload=true,unknown,A,90,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
